Type,group
1398,Mouth Movements
1403,Mouth Movements
1273,Facial Movements
1364,Nose Movements
1189,Mouth Noises
1199,Mouth Noises
1339,Mouth Noises
1400,Upper Body
1402,Upper Body
1404,Coprolalia
1405,Coprolalia
1034,Coughing
1075,Coughing
1144,Barking
1336,Mouth Noises
1337,Mouth Noises
1187,Mouth Noises
1241,Hand Movements
1037,Syllables
1119,Atypical Breathing
1188,Atypical Breathing
1145,Mouth Noises - Raspberry
1082,Atypical Breathing Tics
1009,Grunting
1117,Grunting
1142,Grunting
1338,Mouth Noises
1116,Coughing
1118,Other Animal Noises
1038,Syllables
1083,Syllables
1101,Syllables
1370,Mouth Movements
1316,Mouth Noises
1371,Mouth Movements
1367,Atypical Breathing Tics
1377,Atypical Breathing Tics
1314,Mouth Noises
1036,Atypical Breathing Tics
1192,Mouth Movements
1084,Humming
1200,Mouth Noises
1078,Other Animal Noises
1041,DisinhibitedSpeech
1423,DisinhibitedSpeech
1399,Mouth Movements
1401,Mouth Movements
1191,Mouth Movements
1369,Mouth Movements
1077,Sniffing
1372,Mouth Movements
1406,Mouth Movements
1046,Sniffing
1237,Mouth Noises
1272,Nose Movements
1140,Sniffing
1186,Snorting
1365,Nose Movements
1141,Sniffing
1146,Blocking
1010,Throat Clearing
1035,Throat Clearing
1076,Throat Clearing
1363,Coughing
1079,Mouth Movements
1080,Mouth Movements
1106,Mouth Noises
1407,Mouth Movements
1143,Atypical Breathing Tics
1315,Mouth Noises
1368,Atypical Breathing Tics
